x,y,z,resistivity,chargeability,spontaneous_potential,xA,xB,xM,xN,dev_m,vmn,iab,profil_id
511161,458900,573,584.21,9.79,20.96,458900,9999999,459200,459250,1.21,19.924,450,profil 7
511161,458900,573,1178.63,12.22,41.61,458900,9999999,459250,459300,1.26,30.148,450,profil 7
511161,458900,573,932.82,13.68,-8.38,458900,9999999,459300,459350,3.26,18.558,450,profil 7
511161,458900,573,879.81,17.45,44.59,458900,9999999,459350,459400,0.45,14.003,450,profil 7
511161,458900,573,1019.15,17.93,-12.53,458900,9999999,459400,459450,0.23,13.271,450,profil 7
511162,458951,572,334.89,12.19,63.61,458950,9999999,459000,459050,0.02,239.85,450,profil 7
511162,458951,572,378.76,14.58,-96.16,458950,9999999,459050,459100,0.02,90.421,450,profil 7
511162,458951,572,514.81,19.42,-26.08,458950,9999999,459100,459150,0.06,61.451,450,profil 7
511162,458951,572,625.27,16.19,-21.54,458950,9999999,459150,459200,0.33,44.782,450,profil 7
511162,458951,572,481.27,10.43,43.12,458950,9999999,459200,459250,0.71,22.979,450,profil 7
511162,458951,572,958.26,12.26,-16.95,458950,9999999,459250,459300,0.23,32.681,450,profil 7
511162,458951,572,796.9,15.68,1.72,458950,9999999,459300,459350,0.41,20.384,450,profil 7
511162,458951,572,807.83,18.29,48.14,458950,9999999,459350,459400,0.41,16.071,450,profil 7
511162,458951,572,871.42,18.3,-7.93,458950,9999999,459400,459450,0.22,13.869,450,profil 7
511162,458951,572,956.38,17.45,-9.44,458950,9999999,459450,459500,4.41,12.454,450,profil 7
511162,458951,572,334.7,12.19,65.4,458950,9999999,459000,459050,0.04,239.711,450,profil 7
511162,458951,572,378.56,14.6,-96.04,458950,9999999,459050,459100,0.06,90.374,450,profil 7
511162,458951,572,514.53,19.41,-24.58,458950,9999999,459100,459150,0.09,61.417,450,profil 7
511162,458951,572,624.73,16.16,-23.7,458950,9999999,459150,459200,0.22,44.743,450,profil 7
511162,458951,572,481.45,10.77,43.49,458950,9999999,459200,459250,0.33,22.988,450,profil 7
511162,458951,572,957.39,12.06,-16.13,458950,9999999,459250,459300,0.23,32.652,450,profil 7
511162,458951,572,796.79,15.76,2.62,458950,9999999,459300,459350,0.39,20.381,450,profil 7
511162,458951,572,807.11,18.29,46.99,458950,9999999,459350,459400,0.39,16.057,450,profil 7
511162,458951,572,870.7,18.5,-6.38,458950,9999999,459400,459450,0.12,13.858,450,profil 7
511162,458951,572,952.72,15.86,-14.87,458950,9999999,459450,459500,1.02,12.406,450,profil 7
511161,459000,578,249.43,13.08,-71.36,459000,9999999,459050,459100,0.04,365.222,920,profil 7
511161,459000,578,357.36,19.3,-47.74,459000,9999999,459100,459150,0.07,174.418,920,profil 7
511161,459000,578,466.91,16.87,-16.05,459000,9999999,459150,459200,0.12,113.944,920,profil 7
511161,459000,578,379.78,10.89,25.56,459000,9999999,459200,459250,0.21,55.608,920,profil 7
511161,459000,578,795.2,12.42,1.92,459000,9999999,459250,459300,0.08,77.624,920,profil 7
511161,459000,578,691.01,16.21,2.74,459000,9999999,459300,459350,0.04,48.181,920,profil 7
511161,459000,578,722.31,18.6,33.6,459000,9999999,459350,459400,0.08,37.772,920,profil 7
511161,459000,578,829.67,18.74,-20.57,459000,9999999,459400,459450,0.27,33.745,920,profil 7
511161,459000,578,950.47,16.46,37.43,459000,9999999,459450,459500,0.29,30.927,920,profil 7
511161,459000,578,1075.48,16.45,1.91,459000,9999999,459500,459550,0.21,28.632,920,profil 7
511163,459051,576,273.26,16.35,-40.75,459050,9999999,459100,459150,0.05,352.271,810,profil 7
511163,459051,576,359.07,16.56,-11.61,459050,9999999,459150,459200,0.05,154.299,810,profil 7
511163,459051,576,317.2,10.56,39.71,459050,9999999,459200,459250,0.18,68.154,810,profil 7
511163,459051,576,625.91,12.37,-29.71,459050,9999999,459250,459300,0.15,80.689,810,profil 7
511163,459051,576,601.23,16.06,16.57,459050,9999999,459300,459350,0.17,51.672,810,profil 7
511163,459051,576,654.43,18.58,30.9,459050,9999999,459350,459400,0.09,40.174,810,profil 7
511163,459051,576,774.78,18.93,-69.22,459050,9999999,459400,459450,0.26,35.672,810,profil 7
511163,459051,576,901.53,16.43,80.48,459050,9999999,459450,459500,0.2,32.284,810,profil 7
511163,459051,576,1111.37,16.48,0.71,459050,9999999,459500,459550,0.26,31.838,810,profil 7
511163,459051,576,1315.39,17.15,20.76,459050,9999999,459550,459600,0.31,30.832,810,profil 7
511159,459100,578,174.47,16.16,25.6,459100,9999999,459150,459200,0.04,138.843,500,profil 7
511159,459100,578,223.75,11.05,20.7,459100,9999999,459200,459250,0.08,59.35,500,profil 7
511159,459100,578,473.6,12.57,-31.79,459100,9999999,459250,459300,0.21,62.814,500,profil 7
511159,459100,578,486.2,16.3,5.96,459100,9999999,459300,459350,0.31,38.691,500,profil 7
511159,459100,578,565.21,18.9,45.17,459100,9999999,459350,459400,0.11,29.985,500,profil 7
511159,459100,578,695.72,19.15,-60.09,459100,9999999,459400,459450,0.52,26.364,500,profil 7
511159,459100,578,827.93,17.0,58.12,459100,9999999,459450,459500,0.49,23.53,500,profil 7
511159,459100,578,1026.3,16.68,-36.06,459100,9999999,459500,459550,0.25,22.686,500,profil 7
511159,459100,578,1314.3,17.73,48.57,459100,9999999,459550,459600,0.26,23.242,500,profil 7
511159,459100,578,1103.5,18.0,-63.34,459100,9999999,459600,459650,0.2,15.966,500,profil 7
511159,459100,578,173.82,16.18,29.29,459100,9999999,459150,459200,0.07,138.322,500,profil 7
511159,459100,578,222.9,11.12,20.18,459100,9999999,459200,459250,0.05,59.127,500,profil 7
511159,459100,578,471.76,12.59,-34.2,459100,9999999,459250,459300,0.23,62.569,500,profil 7
511159,459100,578,484.55,16.45,7.85,459100,9999999,459300,459350,0.35,38.559,500,profil 7
511159,459100,578,563.02,19.14,45.68,459100,9999999,459350,459400,0.06,29.869,500,profil 7
511159,459100,578,693.32,19.28,-59.3,459100,9999999,459400,459450,0.24,26.273,500,profil 7
511159,459100,578,824.57,17.17,59.32,459100,9999999,459450,459500,0.48,23.435,500,profil 7
511159,459100,578,1022.82,17.19,-38.91,459100,9999999,459500,459550,0.28,22.609,500,profil 7
511159,459100,578,1308.92,17.15,49.87,459100,9999999,459550,459600,0.4,23.147,500,profil 7
511159,459100,578,1099.3,18.12,-65.27,459100,9999999,459600,459650,0.13,15.905,500,profil 7
511159,459151,578,151.1,10.04,15.12,459150,9999999,459200,459250,0.05,110.623,460,profil 7
511159,459151,578,325.14,12.41,-26.84,459150,9999999,459250,459300,0.1,79.345,460,profil 7
511159,459151,578,378.58,16.52,-12.79,459150,9999999,459300,459350,0.2,46.194,460,profil 7
511159,459151,578,470.69,19.55,58.36,459150,9999999,459350,459400,0.2,34.46,460,profil 7
511159,459151,578,601.67,19.82,-46.54,459150,9999999,459400,459450,0.1,29.366,460,profil 7
511159,459151,578,737.12,17.95,59.97,459150,9999999,459450,459500,1.22,25.698,460,profil 7
511159,459151,578,950.04,17.06,-48.82,459150,9999999,459500,459550,1.27,24.841,460,profil 7
511159,459151,578,1243.87,18.26,-20.81,459150,9999999,459550,459600,0.28,25.296,460,profil 7
511159,459151,578,1492.55,18.49,-18.5,459150,9999999,459600,459650,0.14,24.282,460,profil 7
511159,459151,578,1191.86,16.76,60.72,459150,9999999,459650,459700,0.55,15.865,460,profil 7
511159,459151,578,150.88,10.0,16.35,459150,9999999,459200,459250,0.13,110.458,460,profil 7
511159,459151,578,324.66,12.43,-29.17,459150,9999999,459250,459300,0.06,79.229,460,profil 7
511159,459151,578,377.95,16.26,-9.61,459150,9999999,459300,459350,0.19,46.117,460,profil 7
511159,459151,578,470.13,19.82,56.47,459150,9999999,459350,459400,0.27,34.419,460,profil 7
511159,459151,578,601.02,19.97,-46.23,459150,9999999,459400,459450,0.28,29.334,460,profil 7
511159,459151,578,736.29,17.16,59.73,459150,9999999,459450,459500,0.37,25.669,460,profil 7
511159,459151,578,947.92,17.69,-47.14,459150,9999999,459500,459550,0.14,24.785,460,profil 7
511159,459151,578,1241.73,18.41,-25.14,459150,9999999,459550,459600,0.31,25.252,460,profil 7
511159,459151,578,1490.93,18.45,-17.47,459150,9999999,459600,459650,0.44,24.256,460,profil 7
511159,459151,578,1190.0,16.89,56.09,459150,9999999,459650,459700,0.29,15.84,460,profil 7
511160,459200,578,174.91,10.89,10.48,459200,9999999,459250,459300,0.06,86.295,310,profil 7
511160,459200,578,270.45,15.29,0.96,459200,9999999,459300,459350,0.08,44.479,310,profil 7
511160,459200,578,376.6,19.0,49.19,459200,9999999,459350,459400,0.15,30.968,310,profil 7
511160,459200,578,507.97,19.24,-40.96,459200,9999999,459400,459450,0.23,25.062,310,profil 7
511160,459200,578,645.34,17.32,24.57,459200,9999999,459450,459500,0.38,21.227,310,profil 7
511160,459200,578,848.08,17.46,-12.13,459200,9999999,459500,459550,0.53,19.925,310,profil 7
511160,459200,578,1138.66,18.09,-44.11,459200,9999999,459550,459600,0.4,20.064,310,profil 7
511160,459200,578,1392.03,18.44,160.59,459200,9999999,459600,459650,0.35,19.078,310,profil 7
511160,459200,578,1416.76,17.39,-171.51,459200,9999999,459650,459700,0.68,15.533,310,profil 7
511160,459200,578,1005.9,17.18,92.07,459200,9999999,459700,459750,1.27,9.023,310,profil 7
511160,459200,578,174.44,10.75,12.15,459200,9999999,459250,459300,0.23,86.067,310,profil 7
511160,459200,578,269.73,15.26,3.13,459200,9999999,459300,459350,0.28,44.361,310,profil 7
511160,459200,578,375.45,18.77,50.42,459200,9999999,459350,459400,0.05,30.874,310,profil 7
511160,459200,578,506.59,19.41,-42.47,459200,9999999,459400,459450,0.13,24.994,310,profil 7
511160,459200,578,643.84,17.71,26.79,459200,9999999,459450,459500,0.37,21.177,310,profil 7
511160,459200,578,845.44,16.88,-14.22,459200,9999999,459500,459550,0.37,19.863,310,profil 7
511160,459200,578,1135.7,18.21,-44.7,459200,9999999,459550,459600,0.17,20.012,310,profil 7
511160,459200,578,1388.4,18.21,155.08,459200,9999999,459600,459650,0.43,19.028,310,profil 7
511160,459200,578,1412.87,17.22,-165.86,459200,9999999,459650,459700,0.69,15.491,310,profil 7
511160,459200,578,1003.3,18.0,92.41,459200,9999999,459700,459750,0.55,9.0,310,profil 7
511160,459251,578,159.08,13.51,30.96,459250,9999999,459300,459350,0.06,132.921,525,profil 7
511160,459251,578,280.04,17.86,44.38,459250,9999999,459350,459400,0.12,77.997,525,profil 7
511160,459251,578,413.08,18.72,-73.7,459250,9999999,459400,459450,0.07,57.526,525,profil 7
511160,459251,578,548.84,16.7,50.19,459250,9999999,459450,459500,0.08,45.859,525,profil 7
511160,459251,578,739.88,16.68,-12.08,459250,9999999,459500,459550,0.1,41.214,525,profil 7
511160,459251,578,1021.27,17.6,-27.63,459250,9999999,459550,459600,0.08,40.635,525,profil 7
511160,459251,578,1273.36,17.89,121.33,459250,9999999,459600,459650,0.22,37.999,525,profil 7
511160,459251,578,1274.14,16.4,-99.25,459250,9999999,459650,459700,0.74,29.573,525,profil 7
511160,459251,578,1207.07,17.17,51.98,459250,9999999,459700,459750,1.07,22.413,525,profil 7
511160,459251,578,657.42,14.32,-81.89,459250,9999999,459750,459800,1.27,9.988,525,profil 7
511160,459251,578,158.22,13.46,31.79,459250,9999999,459300,459350,0.03,132.206,525,profil 7
511160,459251,578,278.55,17.85,44.56,459250,9999999,459350,459400,0.04,77.581,525,profil 7
511160,459251,578,410.88,18.7,-72.75,459250,9999999,459400,459450,0.04,57.219,525,profil 7
511160,459251,578,545.87,16.7,49.18,459250,9999999,459450,459500,0.05,45.611,525,profil 7
511160,459251,578,735.96,16.69,-12.84,459250,9999999,459500,459550,0.05,40.996,525,profil 7
511160,459251,578,1015.75,17.43,-26.36,459250,9999999,459550,459600,0.03,40.415,525,profil 7
511160,459251,578,1266.65,17.85,119.3,459250,9999999,459600,459650,0.08,37.799,525,profil 7
511160,459251,578,1268.63,16.57,-97.38,459250,9999999,459650,459700,0.33,29.445,525,profil 7
511160,459251,578,1198.76,16.91,54.78,459250,9999999,459700,459750,0.37,22.259,525,profil 7
511160,459251,578,653.83,14.95,-87.14,459250,9999999,459750,459800,0.24,9.933,525,profil 7
511159,459300,586,220.29,18.75,55.44,459300,9999999,459350,459400,0.03,157.774,450,profil 7
511159,459300,586,353.49,19.61,-73.72,459300,9999999,459400,459450,0.02,84.389,450,profil 7
511159,459300,586,507.54,17.34,22.93,459300,9999999,459450,459500,0.04,60.583,450,profil 7
511159,459300,586,703.3,16.97,7.17,459300,9999999,459500,459550,0.04,50.37,450,profil 7
511159,459300,586,996.34,17.62,-22.73,459300,9999999,459550,459600,0.03,47.572,450,profil 7
511159,459300,586,1223.32,17.78,-9.5,459300,9999999,459600,459650,0.24,41.721,450,profil 7
511159,459300,586,2284.1,16.83,82.16,459300,9999999,459650,459700,0.15,58.424,450,profil 7
511159,459300,586,2252.94,15.88,-36.49,459300,9999999,459750,459800,0.37,35.857,450,profil 7
511159,459300,586,219.54,18.7,54.15,459300,9999999,459350,459400,0.0,157.235,450,profil 7
511159,459300,586,352.28,19.54,-71.3,459300,9999999,459400,459450,0.07,84.1,450,profil 7
511159,459300,586,505.82,17.32,23.93,459300,9999999,459450,459500,0.11,60.378,450,profil 7
511159,459300,586,700.86,16.82,5.07,459300,9999999,459500,459550,0.21,50.195,450,profil 7
511159,459300,586,992.91,17.54,-21.75,459300,9999999,459550,459600,0.04,47.408,450,profil 7
511159,459300,586,1219.88,18.04,-12.14,459300,9999999,459600,459650,0.62,41.604,450,profil 7
511159,459300,586,1365.61,16.38,9.85,459300,9999999,459650,459700,0.76,34.93,450,profil 7
511159,459300,586,1169.87,16.78,74.64,459300,9999999,459700,459750,0.17,23.274,450,profil 7
511159,459300,586,780.67,14.16,-111.64,459300,9999999,459750,459800,0.27,12.425,450,profil 7
511157,459351,587,186.06,18.55,31.27,459350,9999999,459400,459450,0.02,115.491,390,profil 7
511157,459351,587,391.23,17.34,-51.78,459350,9999999,459450,459500,0.04,80.947,390,profil 7
511157,459351,587,577.82,17.07,12.01,459350,9999999,459500,459550,0.11,59.776,390,profil 7
511157,459351,587,855.83,17.6,7.38,459350,9999999,459550,459600,0.2,53.122,390,profil 7
511157,459351,587,1115.21,17.98,40.22,459350,9999999,459600,459650,0.41,46.148,390,profil 7
511157,459351,587,1196.95,16.66,119.71,459350,9999999,459650,459700,0.56,35.379,390,profil 7
511157,459351,587,1079.86,16.93,-93.37,459350,9999999,459700,459750,0.41,23.938,390,profil 7
511157,459351,587,681.51,14.09,-78.75,459350,9999999,459750,459800,0.64,11.75,390,profil 7
511158,459401,586,355.43,15.28,-13.05,459400,9999999,459450,459500,0.04,291.331,515,profil 7
511158,459401,586,526.18,16.27,-55.88,459400,9999999,459500,459550,0.04,143.761,515,profil 7
511158,459401,586,744.14,18.03,86.26,459400,9999999,459550,459600,0.05,101.656,515,profil 7
511158,459401,586,989.07,18.41,-53.15,459400,9999999,459600,459650,0.04,81.069,515,profil 7
511158,459401,586,1129.14,17.18,5.01,459400,9999999,459650,459700,0.08,61.7,515,profil 7
511158,459401,586,1031.37,17.44,60.68,459400,9999999,459700,459750,0.17,40.255,515,profil 7
511158,459401,586,661.43,14.87,-112.62,459400,9999999,459750,459800,0.11,19.362,515,profil 7
511160,459450,587,498.39,14.72,-39.22,459450,9999999,459500,459550,0.02,325.217,410,profil 7
511160,459450,587,696.98,17.51,84.27,459450,9999999,459550,459600,0.03,151.601,410,profil 7
511160,459450,587,933.22,19.0,-48.54,459450,9999999,459600,459650,0.07,101.493,410,profil 7
511160,459450,587,1067.73,18.03,2.32,459450,9999999,459650,459700,0.34,69.673,410,profil 7
511160,459450,587,977.71,18.62,62.85,459450,9999999,459700,459750,0.46,42.533,410,profil 7
511160,459450,587,636.63,15.96,-109.74,459450,9999999,459750,459800,0.18,19.782,410,profil 7
511158,459500,590,647.1,18.08,74.63,459500,9999999,459550,459600,0.06,679.726,660,profil 7
511158,459500,590,883.67,18.54,-38.54,459500,9999999,459600,459650,0.05,309.409,660,profil 7
511158,459500,590,1046.11,18.38,1.18,459500,9999999,459650,459700,0.08,183.143,660,profil 7
511158,459500,590,956.33,18.77,63.12,459500,9999999,459700,459750,0.16,100.455,660,profil 7
511158,459500,590,629.99,16.5,-108.56,459500,9999999,459750,459800,0.13,44.117,660,profil 7
511158,459550,590,739.22,18.69,-29.15,459550,9999999,459600,459650,0.06,658.845,560,profil 7
511158,459550,590,994.61,17.62,0.52,459550,9999999,459650,459700,0.05,295.487,560,profil 7
511158,459550,590,921.12,18.45,63.74,459550,9999999,459700,459750,0.1,136.827,560,profil 7
511158,459550,590,618.12,16.4,-108.61,459550,9999999,459750,459800,0.06,55.091,560,profil 7
511163,459600,592,1057.37,17.09,-2.94,459600,9999999,459650,459700,0.04,757.285,450,profil 7
511163,459600,592,1087.91,17.14,64.78,459600,9999999,459700,459750,0.02,259.718,450,profil 7
511163,459600,592,761.07,15.27,-110.44,459600,9999999,459750,459800,0.04,90.846,450,profil 7
511157,459650,587,803.1,17.43,28.17,459650,9999999,459700,459750,0.1,421.796,330,profil 7
511157,459650,587,667.83,14.36,-111.27,459650,9999999,459750,459800,0.06,116.918,330,profil 7
511162,459700,586,183.05,14.35,-111.53,459700,9999999,459750,459800,0.04,116.53,400,profil 7
