x,y,z,resistivity,chargeability,SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M (mV/V),VMN (mV),IAB (mA),profil_id
510020,459090,632,54.69,15.94,12.46,510018,9999999,510418,510468,4.35,1.003,415,profil 8
510020,459090,632,37.23,17.34,-46.85,510018,9999999,510468,510518,4.91,0.547,415,profil 8
510020,459090,632,34.15,21.91,55.76,510018,9999999,510518,510568,6.79,0.41,415,profil 8
510020,459090,632,382.33,15.5,66.83,510018,9999999,510068,510118,0.02,252.524,415,profil 8
510020,459090,632,317.64,17.69,-12.4,510018,9999999,510118,510168,0.06,69.934,415,profil 8
510020,459090,632,180.92,19.58,45.57,510018,9999999,510168,510218,0.13,19.916,415,profil 8
510020,459090,632,142.39,23.4,-25.63,510018,9999999,510218,510268,0.47,9.404,415,profil 8
510020,459090,632,69.57,19.35,-23.77,510018,9999999,510268,510318,0.79,3.064,415,profil 8
510020,459090,632,43.66,2.83,-77.27,510018,9999999,510318,510368,2.46,1.373,415,profil 8
510020,459090,632,43.47,19.75,-12.02,510018,9999999,510368,510418,12.49,1.025,415,profil 8
510020,459090,632,53.98,6.79,12.65,510018,9999999,510418,510468,13.07,0.99,415,profil 8
510020,459090,632,37.15,24.03,-47.21,510018,9999999,510468,510518,3.35,0.545,415,profil 8
510020,459090,632,34.41,15.53,56.1,510018,9999999,510518,510568,5.21,0.413,415,profil 8
510070,459090,607,320.11,17.3,27.65,510068,9999999,510118,510168,0.06,226.715,445,profil 8
510070,459090,607,189.9,16.87,7.21,510068,9999999,510168,510218,0.19,44.833,445,profil 8
510070,459090,607,154.79,21.27,10.62,510068,9999999,510218,510268,0.59,18.271,445,profil 8
510070,459090,607,75.04,19.1,-75.27,510068,9999999,510268,510318,2.13,5.315,445,profil 8
510070,459090,607,66.3,10.63,-41.44,510068,9999999,510318,510368,1.85,3.131,445,profil 8
510070,459090,607,56.97,12.08,-10.87,510068,9999999,510368,510418,6.93,1.921,445,profil 8
510070,459090,607,63.31,15.99,12.1,510068,9999999,510418,510468,6.48,1.601,445,profil 8
510070,459090,607,43.68,23.76,-55.41,510068,9999999,510468,510518,6.8,0.859,445,profil 8
510070,459090,607,37.15,17.22,46.65,510068,9999999,510518,510568,11.68,0.585,445,profil 8
510070,459090,607,20.51,13.63,-14.58,510068,9999999,510568,510618,10.08,0.264,445,profil 8
510070,459090,607,320.16,17.34,30.84,510068,9999999,510118,510168,0.03,226.749,445,profil 8
510070,459090,607,189.91,16.96,3.63,510068,9999999,510168,510218,0.12,44.834,445,profil 8
510070,459090,607,154.79,21.43,12.34,510068,9999999,510218,510268,0.26,18.272,445,profil 8
510070,459090,607,75.05,19.83,-77.71,510068,9999999,510268,510318,0.92,5.316,445,profil 8
510070,459090,607,66.32,10.83,-40.37,510068,9999999,510318,510368,0.72,3.132,445,profil 8
510070,459090,607,57.14,12.14,-10.46,510068,9999999,510368,510418,3.5,1.927,445,profil 8
510070,459090,607,63.12,15.9,12.81,510068,9999999,510418,510468,2.79,1.597,445,profil 8
510070,459090,607,43.83,17.95,-57.33,510068,9999999,510468,510518,8.84,0.862,445,profil 8
510070,459090,607,36.85,25.03,47.38,510068,9999999,510518,510568,7.59,0.58,445,profil 8
510070,459090,607,20.51,15.56,-15.47,510068,9999999,510568,510618,8.36,0.264,445,profil 8
510120,459090,607,175.7,16.76,34.73,510118,9999999,510168,510218,0.08,162.193,580,profil 8
510120,459090,607,160.96,20.65,8.03,510118,9999999,510218,510268,0.06,49.527,580,profil 8
510120,459090,607,97.15,20.29,-50.69,510118,9999999,510268,510318,0.37,14.946,580,profil 8
510120,459090,607,82.39,15.16,-69.25,510118,9999999,510318,510368,2.2,7.606,580,profil 8
510120,459090,607,69.19,17.05,-0.62,510118,9999999,510368,510418,4.21,4.258,580,profil 8
510120,459090,607,67.84,17.94,15.83,510118,9999999,510418,510468,1.78,2.982,580,profil 8
510120,459090,607,47.71,23.84,-60.65,510118,9999999,510468,510518,0.92,1.573,580,profil 8
510120,459090,607,38.05,21.53,62.16,510118,9999999,510518,510568,3.82,0.976,580,profil 8
510120,459090,607,20.04,20.37,-50.49,510118,9999999,510568,510618,11.14,0.411,580,profil 8
510120,459090,607,24.83,6.59,3.03,510118,9999999,510618,510668,18.67,0.417,580,profil 8
510120,459090,607,175.84,16.74,32.67,510118,9999999,510168,510218,0.04,162.318,580,profil 8
510120,459090,607,161.11,20.74,5.11,510118,9999999,510218,510268,0.04,49.572,580,profil 8
510120,459090,607,97.19,19.89,-47.1,510118,9999999,510268,510318,0.33,14.952,580,profil 8
510120,459090,607,82.56,15.45,-70.16,510118,9999999,510318,510368,0.97,7.621,580,profil 8
510120,459090,607,69.07,14.55,1.03,510118,9999999,510368,510418,2.07,4.25,580,profil 8
510120,459090,607,67.99,20.31,14.23,510118,9999999,510418,510468,1.19,2.989,580,profil 8
510120,459090,607,47.68,21.98,-60.36,510118,9999999,510468,510518,1.33,1.572,580,profil 8
510120,459090,607,38.31,21.71,61.3,510118,9999999,510518,510568,2.0,0.982,580,profil 8
510120,459090,607,20.27,22.46,-50.46,510118,9999999,510568,510618,4.82,0.416,580,profil 8
510120,459090,607,24.55,8.39,1.34,510118,9999999,510618,510668,4.23,0.412,580,profil 8
510170,459090,601,129.65,18.21,18.08,510168,9999999,510218,510268,0.04,109.361,530,profil 8
510170,459090,601,92.1,19.92,-60.71,510168,9999999,510268,510318,0.16,25.897,530,profil 8
510170,459090,601,102.94,16.52,-33.45,510168,9999999,510318,510368,0.4,14.471,530,profil 8
510170,459090,601,70.73,17.16,-69.98,510168,9999999,510368,510418,0.74,5.966,530,profil 8
510170,459090,601,72.26,20.12,27.31,510168,9999999,510418,510468,0.84,4.064,530,profil 8
510170,459090,601,51.63,24.25,-35.59,510168,9999999,510468,510518,1.0,2.074,530,profil 8
510170,459090,601,39.26,26.08,19.16,510168,9999999,510518,510568,2.14,1.183,530,profil 8
510170,459090,601,20.39,21.12,-5.7,510168,9999999,510568,510618,10.93,0.478,530,profil 8
510170,459090,601,129.77,18.15,17.65,510168,9999999,510218,510268,0.03,109.465,530,profil 8
510170,459090,601,92.18,19.83,-60.02,510168,9999999,510268,510318,0.1,25.919,530,profil 8
510170,459090,601,103.1,16.66,-34.49,510168,9999999,510318,510368,1.69,14.494,530,profil 8
510170,459090,601,67.6,17.07,-70.37,510168,9999999,510368,510418,5.24,5.702,530,profil 8
510170,459090,601,76.94,18.35,26.85,510168,9999999,510418,510468,1.21,4.327,530,profil 8
510170,459090,601,51.8,24.85,-34.54,510168,9999999,510468,510518,1.64,2.081,530,profil 8
510170,459090,601,39.26,17.23,18.39,510168,9999999,510518,510568,4.0,1.183,530,profil 8
510170,459090,601,20.44,15.34,-5.63,510168,9999999,510568,510618,2.68,0.479,530,profil 8
510170,459090,601,25.64,3.66,-9.11,510168,9999999,510618,510668,7.92,0.481,530,profil 8
510170,459090,601,39.05,16.68,-0.19,510168,9999999,510668,510718,10.72,0.599,530,profil 8
510170,459090,601,129.83,18.17,17.23,510168,9999999,510218,510268,0.04,109.515,530,profil 8
510170,459090,601,92.22,19.76,-58.81,510168,9999999,510268,510318,0.12,25.931,530,profil 8
510170,459090,601,103.11,16.48,-35.26,510168,9999999,510318,510368,1.57,14.495,530,profil 8
510170,459090,601,70.78,16.74,-71.22,510168,9999999,510368,510418,3.56,5.971,530,profil 8
510170,459090,601,72.4,19.71,26.97,510168,9999999,510418,510468,0.72,4.071,530,profil 8
510170,459090,601,51.54,21.6,-33.68,510168,9999999,510468,510518,1.98,2.07,530,profil 8
510170,459090,601,39.54,24.7,17.95,510168,9999999,510518,510568,3.65,1.191,530,profil 8
510170,459090,601,20.64,11.75,-5.82,510168,9999999,510568,510618,17.33,0.484,530,profil 8
510220,459090,601,60.74,17.49,-15.98,510218,9999999,510268,510318,0.04,49.304,510,profil 8
510220,459091,601,86.83,17.45,-82.11,510218,9999999,510318,510368,0.1,23.493,510,profil 8
510220,459092,601,67.61,16.83,-45.86,510218,9999999,510368,510418,0.38,9.147,510,profil 8
510220,459093,601,59.54,20.11,9.62,510218,9999999,510418,510468,0.35,4.833,510,profil 8
510220,459094,601,48.16,24.27,-19.51,510218,9999999,510468,510518,1.68,2.606,510,profil 8
510220,459095,601,36.51,23.87,20.82,510218,9999999,510518,510568,2.86,1.411,510,profil 8
510220,459096,601,19.18,20.46,-13.24,510218,9999999,510568,510618,4.62,0.556,510,profil 8
510220,459097,601,24.16,21.93,9.92,510218,9999999,510618,510668,3.96,0.545,510,profil 8
510220,459098,601,39.13,21.74,-41.14,510218,9999999,510668,510718,5.09,0.706,510,profil 8
510220,459099,601,67.01,24.23,-1.26,510218,9999999,510718,510768,4.11,0.989,510,profil 8
510220,459100,601,60.73,17.49,-15.34,510218,9999999,510268,510318,0.08,49.297,510,profil 8
510220,459101,601,86.79,17.31,-81.0,510218,9999999,510318,510368,0.13,23.482,510,profil 8
510220,459102,601,67.66,16.92,-48.36,510218,9999999,510368,510418,0.71,9.153,510,profil 8
510220,459103,601,59.52,20.21,10.73,510218,9999999,510418,510468,0.38,4.831,510,profil 8
510220,459104,601,48.19,25.09,-18.33,510218,9999999,510468,510518,1.29,2.608,510,profil 8
510220,459105,601,36.59,23.48,19.36,510218,9999999,510518,510568,5.77,1.414,510,profil 8
510220,459106,601,19.15,26.64,-13.23,510218,9999999,510568,510618,9.01,0.555,510,profil 8
510220,459107,601,24.45,23.73,11.23,510218,9999999,510618,510668,11.71,0.551,510,profil 8
510220,459108,601,39.18,27.07,-41.12,510218,9999999,510668,510718,4.3,0.707,510,profil 8
510220,459109,601,67.01,28.23,-3.64,510218,9999999,510718,510768,4.3,0.989,510,profil 8
510270,459090,600,108.56,14.3,-79.64,510268,9999999,510318,510368,0.13,65.658,380,profil 8
510270,459090,600,107.21,15.09,-6.88,510268,9999999,510368,510418,0.23,21.614,380,profil 8
510270,459090,600,81.2,18.78,-28.33,510268,9999999,510418,510468,0.52,8.184,380,profil 8
510270,459090,600,64.48,24.59,-23.39,510268,9999999,510468,510518,1.23,3.899,380,profil 8
510270,459090,600,46.53,22.92,31.66,510268,9999999,510518,510568,5.57,1.876,380,profil 8
510270,459090,600,23.78,17.13,-2.44,510268,9999999,510568,510618,7.25,0.685,380,profil 8
510270,459090,600,30.62,21.84,-13.3,510268,9999999,510618,510668,1.54,0.661,380,profil 8
510270,459090,600,50.25,23.02,-18.45,510268,9999999,510668,510718,2.41,0.844,380,profil 8
510270,459090,600,108.41,14.32,-80.85,510268,9999999,510318,510368,0.03,65.565,380,profil 8
510270,459090,600,107.08,15.16,-9.11,510268,9999999,510368,510418,0.54,21.587,380,profil 8
510270,459090,600,81.11,18.28,-25.67,510268,9999999,510418,510468,1.6,8.175,380,profil 8
510270,459090,600,64.24,23.29,-23.1,510268,9999999,510468,510518,0.61,3.885,380,profil 8
510270,459090,600,46.53,24.6,31.7,510268,9999999,510518,510568,3.34,1.876,380,profil 8
510270,459090,600,23.32,16.44,-2.82,510268,9999999,510568,510618,7.81,0.672,380,profil 8
510270,459090,600,30.13,17.46,-12.56,510268,9999999,510618,510668,6.9,0.651,380,profil 8
510270,459090,600,50.47,19.87,-19.91,510268,9999999,510668,510718,13.3,0.848,380,profil 8
510270,459090,600,87.61,26.57,-24.63,510268,9999999,510718,510768,9.93,1.177,380,profil 8
510270,459090,600,108.3,14.36,-80.89,510268,9999999,510318,510368,0.03,65.498,380,profil 8
510270,459090,600,106.98,14.82,-10.56,510268,9999999,510368,510418,0.23,21.567,380,profil 8
510270,459090,600,80.98,19.12,-24.08,510268,9999999,510418,510468,0.36,8.163,380,profil 8
510270,459090,600,64.22,23.38,-22.91,510268,9999999,510468,510518,0.38,3.884,380,profil 8
510270,459090,600,46.56,20.81,32.03,510268,9999999,510518,510568,4.04,1.877,380,profil 8
510270,459090,600,23.58,23.32,-3.62,510268,9999999,510568,510618,7.02,0.679,380,profil 8
510270,459090,600,30.25,22.43,-11.53,510268,9999999,510618,510668,6.19,0.653,380,profil 8
510320,459090,599,166.49,11.68,-28.71,510318,9999999,510368,510418,0.03,132.49,500,profil 8
510320,459090,599,150.96,15.23,-2.97,510318,9999999,510418,510468,0.12,40.044,500,profil 8
510320,459090,599,118.88,21.37,-49.1,510318,9999999,510468,510518,1.89,15.767,500,profil 8
510320,459090,599,84.33,21.18,28.69,510318,9999999,510518,510568,4.47,6.711,500,profil 8
510320,459090,599,42.52,18.75,14.96,510318,9999999,510568,510618,4.47,2.256,500,profil 8
510320,459090,599,54.51,20.55,-18.45,510318,9999999,510618,510668,5.07,2.065,500,profil 8
510320,459090,599,89.61,21.91,-0.32,510318,9999999,510668,510718,0.66,2.547,500,profil 8
510320,459090,599,155.99,23.36,-25.67,510318,9999999,510718,510768,2.38,3.448,500,profil 8
510320,459090,599,166.61,11.74,-31.32,510318,9999999,510368,510418,0.01,132.587,500,profil 8
510320,459090,599,151.05,15.23,-2.54,510318,9999999,510418,510468,0.04,40.068,500,profil 8
510320,459090,599,118.98,21.17,-45.97,510318,9999999,510468,510518,0.37,15.78,500,profil 8
510320,459090,599,84.33,22.01,26.12,510318,9999999,510518,510568,0.87,6.711,500,profil 8
510320,459090,599,42.51,19.19,15.89,510318,9999999,510568,510618,1.37,2.255,500,profil 8
510320,459090,599,54.39,18.28,-17.67,510318,9999999,510618,510668,3.25,2.061,500,profil 8
510320,459090,599,89.8,24.13,-0.85,510318,9999999,510668,510718,2.63,2.552,500,profil 8
510320,459090,599,155.84,23.23,-27.62,510318,9999999,510718,510768,1.48,3.445,500,profil 8
510370,459090,601,169.01,17.5,35.49,510368,9999999,510418,510468,0.26,115.661,430,profil 8
510370,459090,601,162.57,19.34,-45.15,510368,9999999,510468,510518,0.25,37.086,430,profil 8
510370,459090,601,126.68,21.45,15.42,510368,9999999,510518,510568,0.59,14.45,430,profil 8
510370,459090,601,68.31,21.41,21.49,510368,9999999,510568,510618,10.6,4.675,430,profil 8
510370,459090,601,90.63,16.97,-11.33,510368,9999999,510618,510668,11.81,4.135,430,profil 8
510370,459090,601,151.83,21.69,-11.16,510368,9999999,510668,510718,1.0,4.948,430,profil 8
510370,459090,601,266.96,22.35,-21.15,510368,9999999,510718,510768,0.97,6.525,430,profil 8
510370,459090,601,169.14,17.35,35.52,510368,9999999,510418,510468,0.06,115.756,430,profil 8
510370,459090,601,162.71,19.29,-44.1,510368,9999999,510468,510518,0.1,37.117,430,profil 8
510370,459090,601,126.77,21.22,15.65,510368,9999999,510518,510568,0.18,14.46,430,profil 8
510370,459090,601,68.39,18.39,20.83,510368,9999999,510568,510618,0.78,4.68,430,profil 8
510370,459090,601,90.72,19.16,-10.96,510368,9999999,510618,510668,0.95,4.139,430,profil 8
510370,459090,601,152.04,22.27,-10.37,510368,9999999,510668,510718,0.76,4.955,430,profil 8
510370,459090,601,267.23,24.15,-22.46,510368,9999999,510718,510768,0.94,6.532,430,profil 8
510420,459090,605,196.72,24.48,-42.29,510418,9999999,510468,510518,0.1,134.629,430,profil 8
510420,459090,605,131.36,19.85,17.29,510418,9999999,510518,510568,0.08,29.966,430,profil 8
510420,459090,605,78.29,17.26,17.45,510418,9999999,510568,510618,0.44,8.929,430,profil 8
510420,459090,605,110.02,19.84,-9.62,510418,9999999,510618,510668,0.6,7.529,430,profil 8
510420,459090,605,191.55,20.87,-9.23,510418,9999999,510668,510718,0.38,8.739,430,profil 8
510420,459090,605,346.54,22.22,-25.02,510418,9999999,510718,510768,0.28,11.293,430,profil 8
510470,459090,600,219.59,26.48,19.02,510468,9999999,510518,510568,0.22,197.457,565,profil 8
510470,459090,600,88.42,16.57,14.12,510468,9999999,510568,510618,0.21,26.503,565,profil 8
510470,459090,600,125.13,18.93,-8.25,510468,9999999,510618,510668,0.25,18.753,565,profil 8
510470,459090,600,226.86,21.91,-9.07,510468,9999999,510668,510718,0.27,20.4,565,profil 8
510470,459090,600,423.43,22.87,-26.17,510468,9999999,510718,510768,0.24,25.384,565,profil 8
510520,459090,599,200.7,33.86,10.89,510518,9999999,510568,510618,0.1,113.397,355,profil 8
510520,459090,599,109.36,17.18,-7.28,510518,9999999,510618,510668,0.26,20.597,355,profil 8
510520,459090,599,203.18,21.4,-9.22,510518,9999999,510668,510718,0.14,19.133,355,profil 8
510520,459090,599,392.46,23.23,-27.02,510518,9999999,510718,510768,0.69,22.174,355,profil 8
510570,459090,595,131.17,26.81,-6.07,510568,9999999,510618,510668,0.04,132.566,635,profil 8
510570,459090,595,163.89,19.88,-8.89,510568,9999999,510668,510718,0.05,55.212,635,profil 8
510570,459090,595,339.81,22.87,-27.83,510568,9999999,510718,510768,0.12,57.237,635,profil 8
510620,459090,591,123.98,20.4,-9.43,510618,9999999,510668,510718,0.05,74.981,380,profil 8
