x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M,VMN (mV),IAB (mA)
509870,459169,591,206.54,19.56,63.63,509870,9999999,510170,510220,0.77,10.175,650
509870,459169,591,163.7,21.09,-47.91,509870,9999999,510220,510270,0.9,6.048,650
509870,459169,591,58.19,8.54,-60.81,509870,9999999,510270,510320,2.17,1.672,650
509925,459165,583,594.55,12.16,-65.88,509920,9999999,509970,510020,0.01,671.841,710
509925,459165,583,512.56,13.98,92.59,509920,9999999,510020,510070,0.01,193.065,710
509925,459165,583,513.21,14.18,4.08,509920,9999999,510070,510120,0.02,96.654,710
509925,459165,583,320.01,15.87,-38.18,509920,9999999,510120,510170,0.07,36.162,710
509925,459165,583,404.55,18.0,18.85,509920,9999999,510170,510220,0.85,30.476,710
509925,459165,583,360.54,18.75,-56.78,509920,9999999,510220,510270,1.28,19.401,710
509925,459165,583,213.42,11.78,-76.3,509920,9999999,510320,510370,0.69,6.699,710
509925,459165,583,28.36,31.21,-5.56,509920,9999999,510370,510420,6.28,0.712,710
509925,459165,583,25.84,26.89,-12.21,509920,9999999,510420,510470,10.53,0.531,710
509925,459165,583,594.24,12.1,-65.47,509920,9999999,509970,510020,0.01,671.487,710
509925,459165,583,512.25,13.91,93.58,509920,9999999,510020,510070,0.0,192.949,710
509925,459165,583,512.97,14.12,5.46,509920,9999999,510070,510120,0.02,96.609,710
509925,459165,583,319.88,15.8,-39.22,509920,9999999,510120,510170,0.13,36.146,710
509925,459165,583,404.78,18.44,18.15,509920,9999999,510170,510220,0.21,30.494,710
509925,459165,583,268.18,19.64,6.64,509920,9999999,510220,510270,0.55,14.431,710
509925,459165,583,122.12,12.96,-62.92,509920,9999999,510270,510320,0.5,4.928,710
509925,459165,583,56.19,10.49,-17.73,509920,9999999,510320,510370,1.55,1.764,710
509925,459165,583,28.53,20.24,-4.8,509920,9999999,510370,510420,3.82,0.716,710
509925,459165,583,26.04,23.2,-9.38,509920,9999999,510420,510470,11.88,0.535,710
509968,459170,584,671.83,15.56,64.82,509970,9999999,510020,510070,0.01,727.087,680
509968,459170,584,713.29,15.11,17.81,509970,9999999,510070,510120,0.02,257.321,680
509968,459170,584,547.94,16.68,26.75,509970,9999999,510120,510170,0.02,98.836,680
509968,459170,584,630.19,19.15,41.14,509970,9999999,510170,510220,0.04,68.202,680
509968,459170,584,467.95,19.88,-50.95,509970,9999999,510220,510270,0.1,33.763,680
509968,459170,584,241.76,14.75,1.47,509970,9999999,510270,510320,1.7,12.459,680
509968,459170,584,169.43,17.84,-31.75,509970,9999999,510320,510370,2.52,6.549,680
509968,459170,584,127.23,24.15,-5.34,509970,9999999,510370,510420,2.1,3.825,680
509968,459170,584,671.29,15.52,66.21,509970,9999999,510020,510070,0.01,726.503,680
509968,459170,584,712.71,15.06,17.81,509970,9999999,510070,510120,0.03,257.112,680
509968,459170,584,547.53,16.64,26.79,509970,9999999,510120,510170,0.02,98.76,680
509968,459170,584,629.72,19.09,41.53,509970,9999999,510170,510220,0.06,68.152,680
509968,459170,584,467.45,19.76,-50.92,509970,9999999,510220,510270,0.12,33.726,680
509968,459170,584,241.63,15.4,1.81,509970,9999999,510270,510320,0.32,12.453,680
509968,459170,584,169.33,16.89,-32.77,509970,9999999,510320,510370,0.69,6.545,680
509968,459170,584,127.01,22.28,-5.24,509970,9999999,510370,510420,0.7,3.818,680
509968,459170,584,103.75,23.43,-8.91,509970,9999999,510420,510470,2.08,2.495,680
509968,459170,584,71.34,24.22,-34.62,509970,9999999,510470,510520,6.82,1.404,680
510022,459171,591,515.25,14.48,-20.14,510020,9999999,510070,510120,0.06,410.021,500
510022,459171,591,538.05,16.19,29.19,510020,9999999,510120,510170,0.08,142.723,500
510022,459171,591,722.19,18.62,27.85,510020,9999999,510170,510220,0.08,95.783,500
510022,459171,591,500.19,19.88,-41.04,510020,9999999,510220,510270,0.13,39.804,500
510022,459171,591,323.37,15.73,-22.18,510020,9999999,510270,510320,0.35,17.156,500
510022,459171,591,236.34,17.63,-23.79,510020,9999999,510320,510370,0.52,8.956,500
510022,459171,591,167.9,22.27,24.08,510020,9999999,510370,510420,1.48,4.772,500
510022,459171,591,157.76,23.59,-22.61,510020,9999999,510420,510470,2.08,3.487,500
510022,459171,591,121.95,29.93,-42.17,510020,9999999,510470,510520,6.09,2.157,500
510022,459171,591,85.69,14.87,41.44,510020,9999999,510520,510570,11.42,1.24,500
510022,459171,591,512.99,14.45,-19.58,510020,9999999,510070,510120,0.03,408.226,500
510022,459171,591,535.71,16.14,28.17,510020,9999999,510120,510170,0.03,142.101,500
510022,459171,591,719.02,18.59,27.89,510020,9999999,510170,510220,0.04,95.362,500
510022,459171,591,497.97,19.89,-40.71,510020,9999999,510220,510270,0.11,39.627,500
510022,459171,591,321.97,15.4,-20.65,510020,9999999,510270,510320,0.3,17.081,500
510022,459171,591,235.49,17.91,-24.43,510020,9999999,510320,510370,0.59,8.924,500
510022,459171,591,167.03,22.42,25.35,510020,9999999,510370,510420,0.39,4.747,500
510022,459171,591,157.33,23.35,-26.28,510020,9999999,510420,510470,0.77,3.478,500
510022,459171,591,120.44,26.09,-41.88,510020,9999999,510470,510520,1.72,2.13,500
510022,459171,591,86.48,23.81,53.79,510020,9999999,510520,510570,2.76,1.251,500
510068,459164,593,307.46,15.95,-31.5,510070,9999999,510120,510170,0.05,322.962,660
510068,459164,593,606.59,18.27,35.17,510070,9999999,510170,510220,0.08,212.391,660
510068,459164,593,540.26,19.49,6.35,510070,9999999,510220,510270,0.1,94.583,660
510068,459164,593,303.62,15.86,-83.95,510070,9999999,510270,510320,0.27,31.893,660
510068,459164,593,286.38,18.25,-21.13,510070,9999999,510320,510370,0.44,20.054,660
510068,459164,593,225.64,23.08,20.84,510070,9999999,510370,510420,0.41,11.287,660
510068,459164,593,199.5,23.6,-37.12,510070,9999999,510420,510470,0.75,7.484,660
510068,459164,593,148.18,23.9,-9.71,510070,9999999,510470,510520,1.18,4.324,660
510068,459164,593,116.94,24.56,-3.8,510070,9999999,510520,510570,1.91,2.73,660
510068,459164,593,73.6,22.73,16.55,510070,9999999,510570,510620,4.89,1.406,660
510068,459164,593,307.55,15.94,-44.82,510070,9999999,510120,510170,0.05,323.058,660
510068,459164,593,606.72,18.27,42.79,510070,9999999,510170,510220,0.06,212.437,660
510068,459164,593,540.38,19.53,-0.67,510070,9999999,510220,510270,0.11,94.604,660
510068,459164,593,303.72,15.73,-75.8,510070,9999999,510270,510320,0.2,31.903,660
510068,459164,593,286.44,18.5,-20.18,510070,9999999,510320,510370,0.16,20.059,660
510068,459164,593,225.8,23.59,19.93,510070,9999999,510370,510420,0.77,11.294,660
510068,459164,593,199.51,23.26,-37.35,510070,9999999,510420,510470,1.2,7.485,660
510068,459164,593,148.27,24.43,-10.75,510070,9999999,510470,510520,1.38,4.326,660
510068,459164,593,117.04,24.8,-1.5,510070,9999999,510520,510570,1.98,2.732,660
510068,459164,593,73.76,23.03,18.35,510070,9999999,510570,510620,0.31,1.409,660
510120,459165,601,300.48,16.41,-25.97,510120,9999999,510170,510220,0.03,234.332,490
510120,459165,601,427.15,17.89,-42.68,510120,9999999,510220,510270,0.07,111.04,490
510120,459165,601,269.42,14.95,-39.34,510120,9999999,510270,510320,0.09,35.019,490
510120,459165,601,265.75,17.52,-10.87,510120,9999999,510320,510370,0.48,20.725,490
510120,459165,601,229.54,21.87,20.17,510120,9999999,510370,510420,0.54,11.934,490
510120,459165,601,210.48,22.14,-39.95,510120,9999999,510420,510470,1.49,7.816,490
510120,459165,601,160.68,23.07,-27.67,510120,9999999,510470,510520,2.29,4.475,490
510120,459165,601,133.37,26.65,47.38,510120,9999999,510520,510570,2.99,2.889,490
510120,459165,601,79.58,12.93,-48.4,510120,9999999,510570,510620,13.33,1.379,490
510120,459165,601,300.13,16.45,-17.79,510120,9999999,510170,510220,0.04,234.06,490
510120,459165,601,426.68,18.02,-43.93,510120,9999999,510220,510270,0.05,110.918,490
510120,459165,601,269.13,15.09,-37.83,510120,9999999,510270,510320,0.07,34.981,490
510120,459165,601,265.45,17.56,-10.77,510120,9999999,510320,510370,0.19,20.701,490
510120,459165,601,229.21,21.83,17.92,510120,9999999,510370,510420,0.34,11.917,490
510120,459165,601,209.99,22.68,-38.25,510120,9999999,510420,510470,1.93,7.798,490
510120,459165,601,160.57,25.18,-27.81,510120,9999999,510470,510520,1.59,4.472,490
510120,459165,601,133.24,28.38,43.72,510120,9999999,510520,510570,4.19,2.886,490
510120,459165,601,79.75,16.08,-45.78,510120,9999999,510570,510620,7.21,1.382,490
510120,459165,601,74.72,26.09,13.89,510120,9999999,510620,510670,11.69,1.06,490
510168,459163,595,300.85,16.07,6.5,510170,9999999,510220,510270,0.03,287.29,600
510168,459163,595,211.08,12.57,-13.87,510170,9999999,510270,510320,0.09,67.19,600
510168,459163,595,242.26,15.09,-76.04,510170,9999999,510320,510370,0.12,38.556,600
510168,459163,595,207.57,20.0,7.48,510170,9999999,510370,510420,0.52,19.822,600
510168,459163,595,200.7,19.74,1.94,510170,9999999,510420,510470,0.83,12.777,600
510168,459163,595,159.1,21.54,-22.04,510170,9999999,510470,510520,0.59,7.235,600
510168,459163,595,132.51,22.87,13.74,510170,9999999,510520,510570,1.62,4.519,600
510168,459163,595,85.76,20.72,-13.96,510170,9999999,510570,510620,4.63,2.275,600
510168,459163,595,78.39,21.34,-21.42,510170,9999999,510620,510670,2.75,1.663,600
510168,459163,595,85.47,15.73,0.43,510170,9999999,510670,510720,13.24,1.484,600
510168,459163,595,300.77,16.08,11.05,510170,9999999,510220,510270,0.0,287.215,600
510168,459163,595,211.02,12.66,-13.19,510170,9999999,510270,510320,0.16,67.169,600
510168,459163,595,242.16,14.91,-76.6,510170,9999999,510320,510370,0.2,38.542,600
510168,459163,595,207.54,19.73,6.12,510170,9999999,510370,510420,0.22,19.819,600
510168,459163,595,200.31,20.52,2.57,510170,9999999,510420,510470,1.01,12.752,600
510168,459163,595,159.13,21.87,-20.8,510170,9999999,510470,510520,1.51,7.236,600
510168,459163,595,131.68,22.84,16.81,510170,9999999,510520,510570,0.77,4.491,600
510168,459163,595,85.43,20.36,-18.7,510170,9999999,510570,510620,1.34,2.266,600
510168,459163,595,78.27,21.64,-20.13,510170,9999999,510620,510670,1.6,1.661,600
510168,459163,595,83.41,12.87,-10.57,510170,9999999,510670,510720,4.98,1.448,600
510220,459170,596,173.22,11.34,-63.98,510220,9999999,510270,510320,0.07,137.842,500
510220,459170,596,216.28,13.1,-21.43,510220,9999999,510320,510370,0.15,57.369,500
510220,459170,596,201.12,17.98,-21.87,510220,9999999,510370,510420,0.18,26.675,500
510220,459170,596,207.27,18.69,6.36,510220,9999999,510420,510470,0.38,16.494,500
510220,459170,596,172.52,15.91,-17.7,510220,9999999,510470,510520,4.02,9.152,500
510220,459170,596,149.05,26.72,3.06,510220,9999999,510520,510570,5.15,5.648,500
510220,459170,596,99.4,16.86,-35.63,510220,9999999,510570,510620,1.44,2.825,500
510220,459170,596,84.1,20.19,31.96,510220,9999999,510620,510670,3.31,1.859,500
510220,459170,596,95.47,19.82,-26.55,510220,9999999,510670,510720,2.69,1.688,500
510220,459170,596,150.41,13.64,-17.79,510220,9999999,510720,510770,7.4,2.176,500
510220,459170,596,172.52,11.3,-63.04,510220,9999999,510270,510320,0.04,137.288,500
510220,459170,596,215.43,13.08,-20.66,510220,9999999,510320,510370,0.12,57.144,500
510220,459170,596,200.38,17.49,-20.02,510220,9999999,510370,510420,1.08,26.576,500
510220,459170,596,206.46,19.69,3.09,510220,9999999,510420,510470,1.72,16.429,500
510220,459170,596,172.3,20.95,-14.93,510220,9999999,510470,510520,1.08,9.141,500
510220,459170,596,147.59,22.45,9.86,510220,9999999,510520,510570,1.02,5.593,500
510220,459170,596,98.7,22.5,-42.0,510220,9999999,510570,510620,4.91,2.805,500
510220,459170,596,83.97,17.51,31.78,510220,9999999,510620,510670,2.82,1.856,500
510220,459170,596,95.03,25.67,-29.1,510220,9999999,510670,510720,2.3,1.681,500
510220,459170,596,150.02,18.32,-19.96,510220,9999999,510720,510770,4.29,2.171,500
510270,459170,596,216.96,12.75,-30.87,510270,9999999,510320,510370,0.09,179.561,520
510270,459170,596,224.82,17.12,25.95,510270,9999999,510370,510420,0.2,62.02,520
510270,459170,596,253.72,18.06,-10.56,510270,9999999,510420,510470,0.08,34.997,520
510270,459170,596,227.11,20.17,-20.31,510270,9999999,510470,510520,0.3,18.796,520
510270,459170,596,208.19,22.94,-30.71,510270,9999999,510520,510570,2.6,11.487,520
510270,459170,596,129.81,23.83,0.79,510270,9999999,510570,510620,6.88,5.116,520
510270,459170,596,215.58,12.91,-28.44,510270,9999999,510320,510370,0.04,178.414,520
510270,459170,596,223.41,17.06,23.48,510270,9999999,510370,510420,0.08,61.632,520
510270,459170,596,252.12,18.1,-10.63,510270,9999999,510420,510470,0.07,34.777,520
510270,459170,596,225.77,19.84,-19.79,510270,9999999,510470,510520,0.17,18.685,520
510270,459170,596,207.55,21.0,-35.23,510270,9999999,510520,510570,0.62,11.451,520
510270,459170,596,129.94,16.37,2.77,510270,9999999,510570,510620,2.5,5.121,520
510270,459170,596,119.61,20.28,-4.43,510270,9999999,510620,510670,1.27,3.535,520
510270,459170,596,293.34,17.69,-40.26,510270,9999999,510670,510720,3.67,6.744,520
510270,459170,596,215.16,12.83,-25.98,510270,9999999,510320,510370,0.09,178.065,520
510270,459170,596,222.94,17.04,21.64,510270,9999999,510370,510420,0.06,61.501,520
510270,459170,596,251.6,18.11,-10.4,510270,9999999,510420,510470,0.1,34.704,520
510270,459170,596,225.13,20.02,-19.53,510270,9999999,510470,510520,0.29,18.632,520
510270,459170,596,206.08,21.71,-37.78,510270,9999999,510520,510570,1.24,11.37,520
510270,459170,596,128.92,20.39,4.0,510270,9999999,510570,510620,2.18,5.081,520
510270,459170,596,118.59,19.62,-4.77,510270,9999999,510620,510670,3.77,3.505,520
510270,459170,596,122.48,17.87,42.16,510270,9999999,510670,510720,1.83,2.816,520
510270,459170,596,211.23,20.36,-80.32,510270,9999999,510720,510770,1.44,3.885,520
510324,459172,599,205.77,20.11,46.09,510320,9999999,510370,510420,0.07,212.876,650
510324,459172,599,263.34,15.81,-17.68,510320,9999999,510420,510470,0.21,90.809,650
510324,459172,599,178.23,15.47,1.69,510320,9999999,510570,510620,2.01,12.292,650
510324,459172,599,163.96,18.2,-49.3,510320,9999999,510620,510670,0.92,8.077,650
510324,459172,599,167.26,17.64,51.42,510320,9999999,510670,510720,1.18,6.18,650
510324,459172,599,290.47,18.33,-54.0,510320,9999999,510720,510770,0.53,8.347,650
510324,459172,599,204.93,20.02,59.43,510320,9999999,510370,510420,0.08,211.997,650
510324,459172,599,262.28,15.87,-28.04,510320,9999999,510420,510470,0.05,90.442,650
510324,459172,599,291.29,17.98,-12.13,510320,9999999,510470,510520,0.25,50.223,650
510324,459172,599,220.38,18.87,15.38,510320,9999999,510520,510570,0.31,22.799,650
510324,459172,599,177.82,16.94,-1.74,510320,9999999,510570,510620,1.61,12.264,650
510324,459172,599,163.3,20.2,-51.45,510320,9999999,510620,510670,1.93,8.044,650
510324,459172,599,166.59,18.48,60.25,510320,9999999,510670,510720,0.68,6.155,650
510324,459172,599,289.58,18.76,-60.83,510320,9999999,510720,510770,1.17,8.321,650
510370,459170,598,329.76,21.62,-11.91,510370,9999999,510420,510470,0.09,314.902,600
510370,459170,598,311.21,17.28,-15.91,510370,9999999,510470,510520,0.08,99.06,600
510370,459170,598,295.2,17.86,-33.81,510370,9999999,510520,510570,0.06,46.983,600
510370,459170,598,212.96,15.71,14.93,510370,9999999,510570,510620,0.21,20.336,600
510370,459170,598,203.88,17.6,-8.72,510370,9999999,510620,510670,2.01,12.979,600
510370,459170,598,220.52,17.39,0.9,510370,9999999,510670,510720,1.56,10.028,600
510370,459170,598,363.37,17.79,-15.45,510370,9999999,510720,510770,1.29,12.393,600
510370,459170,598,329.01,21.61,-11.16,510370,9999999,510420,510470,0.02,314.184,600
510370,459170,598,310.52,17.34,-15.92,510370,9999999,510470,510520,0.19,98.842,600
510370,459170,598,294.51,17.71,-33.78,510370,9999999,510520,510570,0.3,46.873,600
510370,459170,598,212.58,15.57,13.89,510370,9999999,510570,510620,0.19,20.3,600
510370,459170,598,203.93,16.37,-8.22,510370,9999999,510620,510670,0.71,12.982,600
510370,459170,598,220.19,16.97,3.77,510370,9999999,510670,510720,0.83,10.013,600
510370,459170,598,362.76,17.62,-18.55,510370,9999999,510720,510770,0.51,12.372,600
510415,459173,593,626.04,20.5,-9.67,510420,9999999,510470,510520,0.03,418.476,420
510415,459173,593,494.1,18.36,-32.96,510420,9999999,510520,510570,0.19,110.093,420
510415,459173,593,351.14,15.03,6.21,510420,9999999,510570,510620,0.33,39.12,420
510415,459173,593,294.19,17.48,-5.5,510420,9999999,510620,510670,2.44,19.665,420
510415,459173,593,298.64,20.18,17.71,510420,9999999,510670,510720,2.84,13.309,420
510415,459173,593,472.61,17.46,-32.99,510420,9999999,510720,510770,1.35,15.044,420
510415,459173,593,625.87,20.48,-8.38,510420,9999999,510470,510520,0.04,418.362,420
510415,459173,593,493.91,18.39,-34.02,510420,9999999,510520,510570,0.09,110.052,420
510415,459173,593,350.99,15.02,5.79,510420,9999999,510570,510620,0.11,39.104,420
510415,459173,593,294.11,16.94,-5.13,510420,9999999,510620,510670,1.14,19.66,420
510415,459173,593,298.43,18.2,19.52,510420,9999999,510670,510720,2.62,13.299,420
510415,459173,593,472.97,19.55,-34.9,510420,9999999,510720,510770,1.6,15.055,420
510466,459173,600,733.42,21.69,-37.83,510470,9999999,510520,510570,0.06,583.636,500
510466,459173,600,478.52,14.1,6.06,510470,9999999,510570,510620,0.05,126.931,500
510466,459173,600,382.19,14.65,-5.17,510470,9999999,510620,510670,0.09,50.69,500
510466,459173,600,371.28,15.55,24.48,510470,9999999,510670,510720,0.69,29.546,500
510466,459173,600,565.21,18.49,-39.1,510470,9999999,510720,510770,1.11,29.985,500
510521,459173,606,400.22,14.29,-4.16,510520,9999999,510620,510670,0.53,78.56,370
510521,459173,606,382.94,10.57,26.38,510520,9999999,510670,510720,5.67,37.583,370
510521,459173,606,584.92,21.69,-40.5,510520,9999999,510720,510770,6.1,34.445,370
510521,459173,606,511.77,19.26,8.13,510520,9999999,510570,510620,0.03,301.369,370
510521,459173,606,399.78,13.86,-4.16,510520,9999999,510620,510670,0.11,78.474,370
510521,459173,606,384.9,14.48,28.28,510520,9999999,510670,510720,0.45,37.776,370
510521,459173,606,579.72,17.93,-42.37,510520,9999999,510720,510770,0.73,34.138,370
510572,459172,596,451.0,18.64,-3.1,510570,9999999,510620,510670,0.17,261.994,365
510572,459172,596,380.93,14.16,36.87,510570,9999999,510670,510720,0.48,73.763,365
510572,459172,596,560.45,17.27,-51.08,510570,9999999,510720,510770,0.61,54.263,365
510623,459171,592,577.78,17.27,36.97,510620,9999999,510670,510720,0.07,321.85,350
510623,459171,592,682.22,15.44,-51.91,510620,9999999,510720,510770,0.06,126.676,350
510671,459171,585,677.58,19.76,-50.11,510670,9999999,510720,510770,0.07,700.96,650
