x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M,VMN (mV),IAB (mA)
163,263,42.3,101.5,20.3,4.6000000000000005,140,190,160,170,4,7.0,10.4
164,264,42.4,102.0,20.4,4.800000000000001,140,190,160,170,4,7.0,10.4
165,265,42.5,102.5,20.5,5.0,140,190,160,170,4,7.0,10.4
166,266,42.6,103.0,20.6,5.2,140,190,160,170,4,7.0,10.4
167,267,42.7,103.5,20.7,5.4,140,190,160,170,4,7.0,10.4
168,268,42.8,104.0,20.8,5.6000000000000005,140,190,160,170,4,7.0,10.4
169,269,42.9,104.5,20.9,5.800000000000001,140,190,160,170,4,7.0,10.4
170,270,43.0,105.0,21.0,6.0,140,190,160,170,4,7.0,10.4
171,271,43.1,105.5,21.1,6.2,140,190,160,170,4,7.0,10.4
172,272,43.2,106.0,21.2,6.4,140,190,160,170,4,7.0,10.4
173,273,43.3,106.5,21.3,6.6000000000000005,140,190,160,170,4,7.0,10.4
174,274,43.4,107.0,21.4,6.800000000000001,140,190,160,170,4,7.0,10.4
175,275,43.5,107.5,21.5,7.0,140,190,160,170,4,7.0,10.4
176,276,43.6,108.0,21.6,7.2,140,190,160,170,4,7.0,10.4
177,277,43.7,108.5,21.7,7.4,140,190,160,170,4,7.0,10.4
178,278,43.8,109.0,21.8,7.6000000000000005,140,190,160,170,4,7.0,10.4
179,279,43.9,109.5,21.9,7.800000000000001,140,190,160,170,4,7.0,10.4
180,280,44.0,110.0,22.0,8.0,140,190,160,170,4,7.0,10.4
181,281,44.1,110.5,22.1,8.200000000000001,140,190,160,170,4,7.0,10.4
182,282,44.2,111.0,22.2,8.4,140,190,160,170,4,7.0,10.4
183,283,44.3,111.5,22.3,8.6,140,190,160,170,4,7.0,10.4
184,284,44.4,112.0,22.4,8.8,140,190,160,170,4,7.0,10.4
185,285,44.5,112.5,22.5,9.0,140,190,160,170,4,7.0,10.4
186,286,44.6,113.0,22.6,9.200000000000001,140,190,160,170,4,7.0,10.4
187,287,44.7,113.5,22.7,9.4,140,190,160,170,4,7.0,10.4
188,288,44.8,114.0,22.8,9.600000000000001,140,190,160,170,4,7.0,10.4
189,289,44.9,114.5,22.9,9.8,140,190,160,170,4,7.0,10.4
190,290,45.0,115.0,23.0,10.0,140,190,160,170,4,7.0,10.4
191,291,45.1,115.5,23.1,10.200000000000001,140,190,160,170,4,7.0,10.4
192,292,45.2,116.0,23.2,10.4,140,190,160,170,4,7.0,10.4
193,293,45.3,116.5,23.3,10.600000000000001,140,190,160,170,4,7.0,10.4
194,294,45.4,117.0,23.4,10.8,140,190,160,170,4,7.0,10.4
195,295,45.5,117.5,23.5,11.0,140,190,160,170,4,7.0,10.4
196,296,45.6,118.0,23.6,11.200000000000001,140,190,160,170,4,7.0,10.4
197,297,45.7,118.5,23.7,11.4,140,190,160,170,4,7.0,10.4
198,298,45.8,119.0,23.8,11.600000000000001,140,190,160,170,4,7.0,10.4
199,299,45.9,119.5,23.9,11.8,140,190,160,170,4,7.0,10.4
200,300,46.0,120.0,24.0,12.0,140,190,160,170,4,7.0,10.4
201,301,46.1,120.5,24.1,12.200000000000001,140,190,160,170,4,7.0,10.4
202,302,46.2,121.0,24.2,12.4,140,190,160,170,4,7.0,10.4
203,303,46.3,121.5,24.3,12.600000000000001,140,190,160,170,4,7.0,10.4
204,304,46.4,122.0,24.4,12.8,140,190,160,170,4,7.0,10.4
205,305,46.5,122.5,24.5,13.0,140,190,160,170,4,7.0,10.4
206,306,46.6,123.0,24.6,13.200000000000001,140,190,160,170,4,7.0,10.4
207,307,46.7,123.5,24.7,13.4,140,190,160,170,4,7.0,10.4
208,308,46.8,124.0,24.8,13.600000000000001,140,190,160,170,4,7.0,10.4
209,309,46.9,124.5,24.9,13.8,140,190,160,170,4,7.0,10.4
210,310,47.0,125.0,25.0,14.0,140,190,160,170,4,7.0,10.4
211,311,47.1,125.5,25.1,14.200000000000001,140,190,160,170,4,7.0,10.4
212,312,47.2,126.0,25.2,14.4,140,190,160,170,4,7.0,10.4
213,313,47.3,126.5,25.3,14.600000000000001,140,190,160,170,4,7.0,10.4
214,314,47.4,127.0,25.4,14.8,140,190,160,170,4,7.0,10.4
215,315,47.5,127.5,25.5,15.0,140,190,160,170,4,7.0,10.4
216,316,47.6,128.0,25.6,15.200000000000001,140,190,160,170,4,7.0,10.4
217,317,47.7,128.5,25.7,15.4,140,190,160,170,4,7.0,10.4
218,318,47.8,129.0,25.8,15.600000000000001,140,190,160,170,4,7.0,10.4
219,319,47.9,129.5,25.9,15.8,140,190,160,170,4,7.0,10.4
220,320,48.0,130.0,26.0,16.0,140,190,160,170,4,7.0,10.4
221,321,48.1,130.5,26.1,16.2,140,190,160,170,4,7.0,10.4
222,322,48.2,131.0,26.200000000000003,16.400000000000002,140,190,160,170,4,7.0,10.4
223,323,48.3,131.5,26.3,16.6,140,190,160,170,4,7.0,10.4
224,324,48.4,132.0,26.4,16.8,140,190,160,170,4,7.0,10.4
225,325,48.5,132.5,26.5,17.0,140,190,160,170,4,7.0,10.4
226,326,48.6,133.0,26.6,17.2,140,190,160,170,4,7.0,10.4
227,327,48.7,133.5,26.700000000000003,17.400000000000002,140,190,160,170,4,7.0,10.4
228,328,48.8,134.0,26.8,17.6,140,190,160,170,4,7.0,10.4
229,329,48.9,134.5,26.9,17.8,140,190,160,170,4,7.0,10.4
230,330,49.0,135.0,27.0,18.0,140,190,160,170,4,7.0,10.4
231,331,49.1,135.5,27.1,18.2,140,190,160,170,4,7.0,10.4
232,332,49.2,136.0,27.200000000000003,18.400000000000002,140,190,160,170,4,7.0,10.4
233,333,49.3,136.5,27.3,18.6,140,190,160,170,4,7.0,10.4
234,334,49.4,137.0,27.4,18.8,140,190,160,170,4,7.0,10.4
235,335,49.5,137.5,27.5,19.0,140,190,160,170,4,7.0,10.4
236,336,49.6,138.0,27.6,19.200000000000003,140,190,160,170,4,7.0,10.4
237,337,49.7,138.5,27.700000000000003,19.400000000000002,140,190,160,170,4,7.0,10.4
238,338,49.8,139.0,27.8,19.6,140,190,160,170,4,7.0,10.4
239,339,49.9,139.5,27.9,19.8,140,190,160,170,4,7.0,10.4
