x,y,z,Rho(ohm.m),M (mV/V),SP (mV),xA (m),xB (m),xM (m),xN (m),Dev. M,VMN (mV),IAB (mA)
206,306,28.6,113.0,22.6,7.199999999999999,120,170,140,150,2,6.0,10.2
207,307,28.700000000000003,113.5,22.700000000000003,7.400000000000002,120,170,140,150,2,6.0,10.2
208,308,28.8,114.0,22.8,7.600000000000001,120,170,140,150,2,6.0,10.2
209,309,28.9,114.5,22.9,7.800000000000001,120,170,140,150,2,6.0,10.2
210,310,29.0,115.0,23.0,8.0,120,170,140,150,2,6.0,10.2
211,311,29.1,115.5,23.1,8.2,120,170,140,150,2,6.0,10.2
212,312,29.200000000000003,116.0,23.200000000000003,8.400000000000002,120,170,140,150,2,6.0,10.2
213,313,29.3,116.5,23.3,8.600000000000001,120,170,140,150,2,6.0,10.2
214,314,29.4,117.0,23.4,8.8,120,170,140,150,2,6.0,10.2
215,315,29.5,117.5,23.5,9.0,120,170,140,150,2,6.0,10.2
216,316,29.6,118.0,23.6,9.200000000000003,120,170,140,150,2,6.0,10.2
217,317,29.700000000000003,118.5,23.700000000000003,9.400000000000002,120,170,140,150,2,6.0,10.2
218,318,29.8,119.0,23.8,9.600000000000001,120,170,140,150,2,6.0,10.2
219,319,29.9,119.5,23.9,9.8,120,170,140,150,2,6.0,10.2
